"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","610.87","619.00","623.98","605.06","2.65M","-0.20%"
"05/09/2024","612.09","614.40","615.72","605.75","2.07M","0.43%"
"05/08/2024","609.47","601.63","618.22","601.63","3.09M","0.57%"
"05/07/2024","606.00","596.28","606.05","591.32","3.61M","1.51%"
"05/06/2024","596.97","581.82","597.34","580.25","3.69M","3.04%"
"05/03/2024","579.34","566.00","580.26","565.16","3.31M","2.51%"
"05/02/2024","565.15","556.02","565.46","555.59","3.07M","2.44%"
"05/01/2024","551.71","547.84","560.39","544.25","3.47M","0.19%"
"04/30/2024","550.64","560.00","560.00","549.38","3.36M","-1.58%"
"04/29/2024","559.49","559.18","559.64","554.24","2.51M","-0.31%"
"04/26/2024","561.23","558.21","562.92","553.19","4.33M","-0.63%"
"04/25/2024","564.80","549.46","566.54","545.71","3.81M","1.74%"
"04/24/2024","555.12","574.31","576.91","551.30","5.36M","-3.92%"
"04/23/2024","577.75","556.49","579.21","555.28","4.98M","4.17%"
"04/22/2024","554.60","550.66","558.61","542.01","8.60M","-0.08%"
"04/19/2024","555.04","567.88","579.00","552.16","16.45M","-9.09%"
"04/18/2024","610.56","612.10","621.33","605.43","8.47M","-0.51%"
"04/17/2024","613.69","620.97","620.97","607.71","3.31M","-0.62%"
"04/16/2024","617.52","607.50","622.45","607.50","3.52M","1.71%"
"04/15/2024","607.15","630.17","630.17","603.87","3.09M","-2.52%"
"04/12/2024","622.83","628.23","633.12","618.91","2.96M","-0.95%"
"04/11/2024","628.78","624.42","631.66","617.24","2.66M","1.65%"
"04/10/2024","618.58","610.97","620.14","609.34","2.81M","0.06%"
"04/09/2024","618.20","631.99","631.99","615.63","2.15M","-1.62%"
"04/08/2024","628.41","636.39","639.00","628.11","2.15M","-1.22%"
"04/05/2024","636.18","624.92","637.91","622.71","3.38M","3.09%"
"04/04/2024","617.14","633.21","638.00","616.58","3.06M","-2.05%"
"04/03/2024","630.08","612.74","630.41","611.50","2.93M","2.58%"
"04/02/2024","614.21","611.00","615.03","605.51","2.03M","-0.02%"
"04/01/2024","614.31","608.00","615.11","605.57","2.12M","1.15%"
"03/28/2024","607.33","614.99","615.00","601.59","3.71M","-1.01%"
"03/27/2024","613.53","629.01","631.35","610.73","2.63M","-2.50%"
"03/26/2024","629.24","625.20","634.39","619.18","2.80M","0.28%"
"03/25/2024","627.46","627.90","630.46","623.16","1.80M","-0.09%"
"03/22/2024","628.01","624.16","629.05","621.00","2.14M","0.85%"
"03/21/2024","622.71","630.65","634.36","622.33","2.51M","-0.79%"
"03/20/2024","627.69","619.95","629.51","618.34","2.64M","1.12%"
"03/19/2024","620.74","615.62","621.28","608.00","2.14M","0.38%"
"03/18/2024","618.39","613.56","627.41","610.45","3.34M","2.06%"
"03/15/2024","605.88","622.92","622.92","603.82","6.67M","-1.16%"
"03/14/2024","613.01","615.00","620.80","607.35","3.12M","0.58%"
"03/13/2024","609.45","613.37","614.85","607.21","2.19M","-0.27%"
"03/12/2024","611.08","600.21","615.30","596.27","2.82M","1.69%"
"03/11/2024","600.93","608.08","611.00","600.37","2.50M","-0.64%"
"03/08/2024","604.82","608.27","616.09","600.84","2.78M","-0.61%"
"03/07/2024","608.51","599.34","610.53","595.90","2.74M","1.81%"
"03/06/2024","597.69","602.99","607.93","593.56","2.47M","-0.14%"
"03/05/2024","598.50","610.10","610.91","592.00","3.85M","-2.81%"
"03/04/2024","615.83","621.56","624.42","615.08","3.02M","-0.57%"
"03/01/2024","619.34","599.81","620.28","599.50","4.27M","2.72%"
"02/29/2024","602.92","604.25","604.52","595.16","3.57M","1.08%"
"02/28/2024","596.48","595.79","598.17","590.01","2.61M","-0.86%"
"02/27/2024","601.67","595.00","605.36","592.33","4.49M","2.39%"
"02/26/2024","587.65","583.56","590.75","583.27","2.39M","0.70%"
"02/23/2024","583.56","586.40","592.43","579.82","2.57M","-0.83%"
"02/22/2024","588.47","582.75","590.85","578.89","3.53M","2.64%"
"02/21/2024","573.35","573.51","575.78","567.32","2.28M","-0.31%"
"02/20/2024","575.13","580.18","586.00","569.66","3.12M","-1.51%"
"02/16/2024","583.95","596.95","597.00","577.46","4.33M","-1.60%"
"02/15/2024","593.46","581.91","593.77","580.32","5.22M","2.44%"
"02/14/2024","579.33","567.26","581.25","564.34","5.63M","4.47%"
"02/13/2024","554.52","550.80","559.20","549.00","3.51M","-0.60%"
"02/12/2024","557.85","560.36","568.44","557.00","3.61M","-0.62%"
"02/09/2024","561.32","565.00","566.00","558.10","3.06M","0.50%"
"02/08/2024","558.53","560.55","563.70","555.74","3.18M","-0.14%"
"02/07/2024","559.30","558.16","567.80","554.98","4.37M","0.62%"
"02/06/2024","555.88","564.12","566.34","554.37","2.84M","-1.10%"
"02/05/2024","562.06","562.47","575.75","557.20","4.14M","-0.46%"
"02/02/2024","564.64","564.52","567.80","562.37","4.03M","-0.51%"
"02/01/2024","567.51","567.02","572.66","563.83","3.17M","0.60%"
"01/31/2024","564.11","562.85","572.15","562.04","4.86M","0.22%"
"01/30/2024","562.85","567.32","570.88","560.82","6.18M","-2.25%"
"01/29/2024","575.79","571.35","578.55","562.68","6.91M","0.94%"
"01/26/2024","570.42","561.81","579.64","558.43","12.77M","1.50%"
"01/25/2024","562.00","551.95","563.46","548.46","9.45M","3.14%"
"01/24/2024","544.87","537.75","562.50","537.07","26.43M","10.70%"
"01/23/2024","492.19","492.00","498.96","481.40","15.51M","1.33%"
"01/22/2024","485.71","487.55","489.80","479.90","5.21M","0.57%"
"01/19/2024","482.95","484.98","485.67","476.06","5.67M","-0.49%"
"01/18/2024","485.31","480.03","485.77","478.02","4.05M","1.04%"
"01/17/2024","480.33","484.50","486.21","475.26","4.89M","-0.19%"
"01/16/2024","481.24","490.00","494.15","478.02","4.68M","-2.22%"
"01/12/2024","492.16","500.51","500.79","490.61","5.00M","-0.01%"
"01/11/2024","492.23","492.54","503.41","483.82","7.99M","2.91%"
"01/10/2024","478.33","481.60","487.00","472.95","4.34M","-0.78%"
"01/09/2024","482.09","475.53","485.08","473.80","3.53M","-0.61%"
"01/08/2024","485.03","473.89","485.24","473.65","3.68M","2.31%"
"01/05/2024","474.06","476.50","479.55","471.80","2.63M","-0.13%"
"01/04/2024","474.67","472.98","480.74","466.53","3.64M","0.94%"
"01/03/2024","470.26","467.32","475.05","465.77","3.44M","0.38%"
"01/02/2024","468.50","483.18","484.65","461.86","5.05M","-3.78%"
"12/29/2023","486.88","490.37","492.23","481.93","2.74M","-0.74%"
"12/28/2023","490.51","492.00","492.89","489.07","1.71M","-0.26%"
"12/27/2023","491.79","491.24","494.02","489.25","2.56M","0.12%"
"12/26/2023","491.19","489.39","491.48","486.38","2.03M","0.91%"
"12/22/2023","486.76","494.00","496.02","485.45","2.70M","-0.99%"
"12/21/2023","491.61","492.66","494.40","486.77","2.76M","0.48%"
"12/20/2023","489.27","492.00","500.89","488.39","4.56M","-1.16%"
"12/19/2023","495.02","488.40","496.14","484.06","3.85M","1.83%"
"12/18/2023","486.12","476.30","492.04","475.10","6.41M","2.98%"
"12/15/2023","472.06","467.30","473.00","467.30","7.84M","0.47%"
"12/14/2023","469.83","480.36","480.76","464.76","5.18M","-2.11%"
"12/13/2023","479.98","461.98","481.25","461.98","5.82M","3.67%"
"12/12/2023","463.00","465.23","465.61","459.20","3.30M","0.68%"
"12/11/2023","459.89","459.36","470.65","457.21","4.93M","1.35%"
"12/08/2023","453.76","450.76","455.50","450.76","3.46M","0.39%"
"12/07/2023","452.00","450.85","452.89","448.32","3.51M","1.18%"
"12/06/2023","446.73","460.00","460.50","445.73","4.18M","-1.85%"
"12/05/2023","455.15","450.70","456.39","449.58","3.38M","0.28%"
"12/04/2023","453.90","460.99","461.20","451.20","5.16M","-2.54%"
"12/01/2023","465.74","473.17","475.23","464.60","4.34M","-1.74%"
"11/30/2023","473.97","475.31","478.59","470.42","4.29M","-0.67%"
"11/29/2023","477.19","479.00","480.99","474.49","2.86M","-0.38%"
"11/28/2023","479.00","478.11","480.50","475.95","2.89M","-0.04%"
"11/27/2023","479.17","479.03","482.00","475.35","3.63M","-0.08%"
"11/24/2023","479.56","477.11","480.40","475.20","1.40M","0.33%"
"11/22/2023","478.00","476.80","482.70","476.56","2.84M","0.64%"
"11/21/2023","474.95","472.63","477.02","471.21","3.00M","0.10%"
"11/20/2023","474.47","465.40","476.76","465.40","3.62M","1.84%"
"11/17/2023","465.91","466.95","467.65","462.76","2.80M","-0.22%"
"11/16/2023","466.95","463.00","467.28","459.65","3.66M","1.08%"
"11/15/2023","461.94","452.81","462.75","452.45","5.04M","2.96%"
"11/14/2023","448.65","448.78","454.08","445.64","4.06M","0.91%"
"11/13/2023","444.62","447.25","448.43","442.60","2.90M","-0.59%"
"11/10/2023","447.24","437.48","447.48","435.51","4.44M","2.78%"
"11/09/2023","435.15","438.03","440.38","434.35","2.74M","-0.34%"
"11/08/2023","436.65","435.00","438.07","433.68","2.36M","0.47%"
"11/07/2023","434.61","436.18","437.64","431.00","3.29M","-0.03%"
"11/06/2023","434.74","434.38","435.03","429.61","3.00M","0.55%"
"11/03/2023","432.36","428.76","434.82","425.53","3.67M","1.80%"
"11/02/2023","424.71","421.17","426.69","417.10","4.48M","1.08%"
"11/01/2023","420.19","414.77","420.60","414.18","4.81M","2.06%"
"10/31/2023","411.69","409.24","412.52","404.63","3.88M","0.39%"
"10/30/2023","410.08","402.35","412.82","399.41","5.32M","3.07%"
"10/27/2023","397.87","406.42","410.21","395.62","5.00M","-1.41%"
"10/26/2023","403.54","411.42","417.31","401.54","6.85M","-1.87%"
"10/25/2023","411.25","416.02","418.84","410.11","6.30M","-0.60%"
"10/24/2023","413.73","409.68","416.69","408.39","6.46M","1.69%"
"10/23/2023","406.84","403.32","407.54","398.52","7.39M","1.47%"
"10/20/2023","400.96","405.63","410.64","398.01","12.78M","-0.20%"
"10/19/2023","401.77","404.74","408.95","392.26","28.07M","16.05%"
"10/18/2023","346.19","351.00","354.79","344.73","11.43M","-2.68%"
"10/17/2023","355.72","361.10","362.70","353.89","5.91M","-1.41%"
"10/16/2023","360.82","356.21","363.08","354.77","5.13M","1.45%"
"10/13/2023","355.68","355.64","358.93","352.05","6.32M","-1.53%"
"10/12/2023","361.20","366.48","368.83","359.05","7.38M","-1.29%"
"10/11/2023","365.93","372.77","377.81","365.34","9.15M","-1.98%"
"10/10/2023","373.32","385.58","388.70","372.25","7.29M","-3.27%"
"10/09/2023","385.95","378.05","387.17","377.76","3.30M","1.16%"
"10/06/2023","381.51","368.43","382.52","367.77","4.78M","2.39%"
"10/05/2023","372.59","378.01","378.60","367.24","5.03M","-1.14%"
"10/04/2023","376.90","376.50","380.22","373.58","4.30M","0.04%"
"10/03/2023","376.75","377.11","394.90","372.85","8.88M","-0.94%"
"10/02/2023","380.33","377.48","384.81","376.80","3.10M","0.72%"
"09/29/2023","377.60","380.00","382.58","375.35","4.21M","0.33%"
"09/28/2023","376.36","375.60","378.96","371.10","4.37M","-0.33%"
"09/27/2023","377.59","382.40","384.22","376.25","3.84M","-0.44%"
"09/26/2023","379.25","382.88","384.56","377.36","4.09M","-1.44%"
"09/25/2023","384.80","382.90","386.62","380.81","3.76M","1.31%"
"09/22/2023","379.81","385.00","386.88","378.36","3.70M","-1.13%"
"09/21/2023","384.15","386.50","395.90","383.42","5.56M","-0.56%"
"09/20/2023","386.30","397.05","397.98","386.12","3.87M","-2.50%"
"09/19/2023","396.20","392.84","398.23","390.24","4.08M","0.46%"
"09/18/2023","394.40","395.50","399.46","392.60","4.70M","-0.64%"
"09/15/2023","396.94","401.00","404.70","395.03","9.12M","-0.89%"
"09/14/2023","400.49","410.40","411.39","400.00","10.71M","-2.85%"
"09/13/2023","412.24","435.50","438.40","410.69","11.84M","-5.16%"
"09/12/2023","434.69","442.85","445.44","434.12","3.12M","-2.40%"
"09/11/2023","445.36","443.07","449.89","442.75","2.91M","0.58%"
"09/08/2023","442.80","443.56","446.81","438.85","2.70M","-0.08%"
"09/07/2023","443.14","441.15","444.60","436.70","2.92M","-0.59%"
"09/06/2023","445.76","448.61","451.39","440.49","3.86M","-0.65%"
"09/05/2023","448.68","438.39","453.45","438.00","6.16M","2.00%"
"09/01/2023","439.88","437.73","445.50","435.93","4.79M","1.43%"
"08/31/2023","433.68","431.23","437.15","431.23","3.80M","-0.23%"
"08/30/2023","434.67","430.85","438.16","428.35","3.63M","1.09%"
"08/29/2023","429.99","416.00","432.17","414.50","4.49M","2.85%"
"08/28/2023","418.06","418.04","419.83","413.27","2.93M","0.49%"
"08/25/2023","416.03","412.00","419.25","407.56","5.39M","2.24%"
"08/24/2023","406.93","425.41","427.59","406.17","5.69M","-4.82%"
"08/23/2023","427.55","418.40","437.02","417.71","8.17M","3.48%"
"08/22/2023","413.17","409.00","415.74","407.40","3.60M","1.20%"
"08/21/2023","408.29","402.23","409.61","399.50","3.86M","0.93%"
"08/18/2023","404.53","399.33","406.52","398.15","4.31M","0.38%"
"08/17/2023","403.00","415.00","415.24","401.58","6.03M","-3.00%"
"08/16/2023","415.45","423.73","424.51","415.25","3.97M","-1.95%"
"08/15/2023","423.70","424.41","429.12","421.04","3.37M","-0.95%"
"08/14/2023","427.78","421.99","428.85","418.78","3.97M","1.45%"
"08/11/2023","421.66","428.98","430.63","421.33","3.93M","-1.93%"
"08/10/2023","429.98","431.12","438.12","428.69","5.47M","0.25%"
"08/09/2023","428.90","439.74","440.62","427.59","3.85M","-2.14%"
"08/08/2023","438.30","440.36","443.57","435.10","3.77M","-0.56%"
"08/07/2023","440.76","436.45","441.11","428.91","4.78M","2.12%"
"08/04/2023","431.60","433.06","436.50","426.27","5.44M","0.14%"
"08/03/2023","431.00","427.80","441.93","427.19","6.26M","0.30%"
"08/02/2023","429.70","435.23","435.56","426.56","4.92M","-2.03%"
"08/01/2023","438.62","437.37","445.25","431.40","5.73M","-0.08%"
"07/31/2023","438.97","426.51","439.13","426.30","6.59M","3.10%"
"07/28/2023","425.78","415.56","427.47","413.76","6.43M","3.05%"
"07/27/2023","413.17","426.90","427.52","411.88","6.59M","-2.25%"
"07/26/2023","422.67","424.20","425.26","415.59","6.01M","-1.18%"
"07/25/2023","427.70","427.18","430.88","426.13","4.86M","-0.16%"
"07/24/2023","428.37","425.00","428.64","419.19","8.28M","0.20%"
"07/21/2023","427.50","437.37","438.24","423.19","17.34M","-2.27%"
"07/20/2023","437.42","447.00","448.50","432.00","23.99M","-8.41%"
"07/19/2023","477.59","476.86","485.00","470.00","21.00M","0.59%"
"07/18/2023","474.80","451.00","478.15","448.78","13.20M","5.50%"
"07/17/2023","450.05","445.57","456.68","445.11","6.90M","1.84%"
"07/14/2023","441.91","452.79","456.48","439.70","7.20M","-1.88%"
"07/13/2023","450.38","447.00","451.67","441.18","6.16M","1.43%"
"07/12/2023","444.05","444.55","445.41","437.75","5.73M","0.87%"
"07/11/2023","440.21","438.65","440.80","431.04","4.57M","-0.34%"
"07/10/2023","441.71","438.52","444.41","436.82","4.25M","0.82%"
"07/07/2023","438.10","438.60","442.33","435.84","4.17M","-0.17%"
"07/06/2023","438.84","440.00","442.80","430.72","4.94M","-1.58%"
"07/05/2023","445.90","444.91","450.97","439.62","6.88M","1.01%"
"07/03/2023","441.44","439.76","441.55","431.62","3.73M","0.22%"
"06/30/2023","440.49","431.10","444.12","431.10","7.35M","2.86%"
"06/29/2023","428.24","434.33","437.85","426.15","4.93M","-0.37%"
"06/28/2023","429.84","423.10","437.29","422.89","8.81M","3.06%"
"06/27/2023","417.08","417.39","420.88","411.50","4.82M","0.27%"
"06/26/2023","415.94","422.43","430.96","414.90","4.64M","-1.91%"
"06/23/2023","424.02","418.59","425.82","417.73","8.30M","0.36%"
"06/22/2023","422.48","422.93","424.71","418.68","4.87M","-0.46%"
"06/21/2023","424.45","432.65","434.55","422.54","5.15M","-2.36%"
"06/20/2023","434.70","430.18","440.00","430.00","4.76M","0.63%"
"06/16/2023","431.96","446.15","447.51","430.90","8.75M","-2.99%"
"06/15/2023","445.27","444.10","448.65","439.50","7.10M","1.00%"
"06/14/2023","440.86","434.99","447.33","433.50","8.41M","1.18%"
"06/13/2023","435.73","430.01","437.27","428.40","7.82M","2.77%"
"06/12/2023","423.97","418.83","424.70","416.57","5.97M","0.94%"
"06/09/2023","420.02","424.50","425.90","414.76","12.37M","2.60%"
"06/08/2023","409.37","399.77","409.54","396.34","5.99M","2.40%"
"06/07/2023","399.77","410.43","418.95","399.23","11.93M","0.12%"
"06/06/2023","399.29","405.00","405.12","396.93","4.99M","-1.05%"
"06/05/2023","403.54","400.47","413.86","400.15","7.25M","0.77%"
"06/02/2023","400.47","402.89","406.58","395.90","5.90M","-0.66%"
"06/01/2023","403.13","397.41","407.52","393.08","7.16M","2.00%"
"05/31/2023","395.23","391.89","396.26","388.91","6.99M","0.57%"
"05/30/2023","392.98","397.48","405.11","385.79","10.86M","3.72%"
"05/26/2023","378.88","361.10","383.76","356.00","9.36M","5.54%"
"05/25/2023","359.00","359.61","367.45","357.42","6.26M","-1.60%"
"05/24/2023","364.85","356.93","367.15","356.63","7.97M","2.49%"
"05/23/2023","355.99","360.24","364.17","354.31","6.87M","-1.93%"
"05/22/2023","363.01","365.36","372.01","362.50","5.41M","-0.64%"
"05/19/2023","365.36","369.86","369.99","363.81","7.86M","-1.60%"
"05/18/2023","371.29","347.25","375.87","346.37","20.93M","9.22%"
"05/17/2023","339.96","331.76","341.38","329.61","3.96M","1.86%"
"05/16/2023","333.75","334.00","335.17","331.91","3.33M","-0.64%"
"05/15/2023","335.89","340.62","341.90","335.54","3.65M","-1.18%"
"05/12/2023","339.89","344.76","348.17","337.36","6.08M","-1.41%"
"05/11/2023","344.76","334.98","345.47","331.84","8.03M","2.78%"
"05/10/2023","335.42","335.21","337.11","329.51","4.29M","0.99%"
"05/09/2023","332.14","330.67","336.32","329.74","5.54M","0.28%"
"05/08/2023","331.21","322.99","332.56","322.03","5.49M","2.62%"
"05/05/2023","322.76","323.61","324.15","319.44","3.99M","0.62%"
"05/04/2023","320.78","319.01","323.61","317.95","3.88M","0.46%"
"05/03/2023","319.30","317.55","324.62","315.85","5.06M","0.55%"
"05/02/2023","317.55","325.00","326.07","315.62","4.32M","-2.03%"
"05/01/2023","324.12","329.43","331.23","318.09","5.34M","-1.76%"
"04/28/2023","329.93","325.24","330.81","324.00","4.23M","1.25%"
"04/27/2023","325.85","324.30","327.45","317.44","5.62M","1.46%"
"04/26/2023","321.15","321.36","325.90","320.47","4.62M","-0.43%"
"04/25/2023","322.55","328.50","328.65","321.10","5.43M","-1.97%"
"04/24/2023","329.02","330.20","334.66","326.75","5.59M","0.32%"
"04/21/2023","327.98","323.00","328.29","319.50","6.35M","0.81%"
"04/20/2023","325.35","320.39","331.43","318.33","9.95M","0.69%"
"04/19/2023","323.12","324.21","325.75","316.10","22.13M","-3.17%"
"04/18/2023","333.70","335.00","337.19","330.50","17.94M","0.29%"
"04/17/2023","332.72","338.00","338.39","327.50","6.14M","-1.75%"
"04/14/2023","338.63","342.94","344.85","336.41","5.35M","-2.18%"
"04/13/2023","346.19","339.99","346.43","338.75","7.41M","4.58%"
"04/12/2023","331.03","340.81","342.80","330.04","3.97M","-2.12%"
"04/11/2023","338.21","343.45","347.14","337.64","4.04M","-0.23%"
"04/10/2023","338.99","335.27","339.88","333.36","2.66M","-0.10%"
"04/06/2023","339.33","339.34","340.48","332.63","4.66M","-0.88%"
"04/05/2023","342.35","345.30","345.43","336.25","4.21M","-1.27%"
"04/04/2023","346.75","348.49","349.80","343.95","3.30M","-0.44%"
"04/03/2023","348.28","341.83","348.58","340.40","4.41M","0.81%"
"03/31/2023","345.48","340.05","345.84","337.20","5.61M","2.08%"
"03/30/2023","338.43","340.27","343.29","335.30","7.13M","1.93%"
"03/29/2023","332.03","326.29","332.85","325.73","6.29M","2.63%"
"03/28/2023","323.52","326.06","333.32","321.28","6.49M","-1.26%"
"03/27/2023","327.66","327.55","336.44","324.41","8.63M","-0.22%"
"03/24/2023","328.39","320.63","331.83","320.63","13.00M","2.50%"
"03/23/2023","320.37","304.68","322.78","304.14","15.65M","9.01%"
"03/22/2023","293.90","306.31","306.45","293.54","5.81M","-3.89%"
"03/21/2023","305.79","306.32","307.92","300.43","4.89M","0.22%"
"03/20/2023","305.13","299.79","307.50","296.00","5.11M","0.54%"
"03/17/2023","303.50","310.06","310.76","300.00","6.92M","-2.12%"
"03/16/2023","310.06","304.75","316.60","301.71","7.91M","2.06%"
"03/15/2023","303.79","292.51","306.31","292.28","9.22M","3.00%"
"03/14/2023","294.94","295.97","297.45","290.31","5.96M","0.49%"
"03/13/2023","293.51","287.34","299.24","285.33","6.29M","0.26%"
"03/10/2023","292.76","297.90","298.79","289.00","5.76M","-1.69%"
"03/09/2023","297.78","312.08","312.51","294.88","7.44M","-4.49%"
"03/08/2023","311.79","309.29","311.83","305.75","3.48M","1.08%"
"03/07/2023","308.47","312.67","314.30","306.62","4.55M","-1.14%"
"03/06/2023","312.03","317.00","323.30","311.84","5.66M","-1.00%"
"03/03/2023","315.18","315.45","317.49","310.82","5.95M","1.06%"
"03/02/2023","311.88","310.96","315.57","310.38","4.92M","-0.51%"
"03/01/2023","313.48","321.55","326.60","312.36","4.91M","-2.69%"
"02/28/2023","322.13","323.70","327.62","321.17","3.68M","-0.28%"
"02/27/2023","323.03","323.87","330.00","322.12","6.14M","1.85%"
